,trial_names,result
336,pick_and_place_simple-Cloth-None-Drawer-409_0:,FAIL
337,pick_and_place_simple-HandTowel-None-SinkBasin-422_0:,PASS
338,pick_and_place_simple-HandTowel-None-SinkBasin-422_0:,PASS
339,pick_and_place_simple-HandTowel-None-Toilet-428_0:,PASS
340,pick_and_place_simple-HandTowel-None-Toilet-428_0:,PASS
341,pick_and_place_simple-HandTowel-None-SinkBasin-422_0:,PASS
342,pick_and_place_simple-HandTowel-None-Toilet-428_0:,PASS
343,pick_and_place_simple-Vase-None-CoffeeTable-207_0:,FAIL
344,pick_and_place_simple-CD-None-SideTable-329_0:,PASS
345,pick_and_place_simple-CD-None-SideTable-329_0:,PASS
346,pick_and_place_simple-Vase-None-CoffeeTable-207_0:,PASS
347,pick_and_place_simple-Vase-None-CoffeeTable-207_0:,FAIL
348,pick_and_place_simple-CreditCard-None-Drawer-227_0:,FAIL
349,pick_and_place_simple-PepperShaker-None-Drawer-5_0:,FAIL
350,pick_and_place_simple-PepperShaker-None-Drawer-5_0:,FAIL
351,pick_and_place_simple-CreditCard-None-Drawer-227_0:,FAIL
352,pick_and_place_simple-CreditCard-None-Drawer-227_0:,FAIL
353,pick_and_place_simple-TomatoSliced-None-Fridge-6_0:,FAIL
354,pick_and_place_simple-TomatoSliced-None-Fridge-6_0:,FAIL
355,pick_and_place_simple-TomatoSliced-None-Fridge-6_0:,FAIL
356,pick_and_place_simple-PepperShaker-None-Drawer-5_0:,FAIL
357,pick_and_place_simple-BasketBall-None-Dresser-314_0:,FAIL
358,pick_and_place_simple-CD-None-Dresser-318_0:,PASS
359,pick_and_place_simple-CD-None-Dresser-318_0:,PASS
360,pick_and_place_simple-Book-None-Sofa-229_0:,PASS
361,pick_and_place_simple-CD-None-Dresser-318_0:,PASS
362,pick_and_place_simple-HandTowel-None-Cabinet-414_0:,PASS
363,pick_and_place_simple-Book-None-Sofa-229_0:,PASS
364,pick_and_place_simple-SoapBottle-None-SideTable-420_0:,PASS
